,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",LinearRegression(),Performance,0.1,"compression                      7.748377e+19
compressionLzo                   7.748377e+19
compressionGzip                  7.748377e+19
compressionBzip2                 7.748377e+19
compressionLrzip                 7.748377e+19
compressionZpaq                  7.748377e+19
level3                           4.107652e+19
level1                           4.107652e+19
level2                           4.107652e+19
level6                           4.107652e+19
level4                           4.107652e+19
level7                           4.107652e+19
level5                           4.107652e+19
level8                           4.107652e+19
level9                           4.107652e+19
level                            8.638920e+18
encryption                       1.050242e+05
disableCompressibilityTesting    1.419348e+04
unlimitedWindowSize              1.284325e+04
dtype: float64","count      25.000000
mean      341.720026
std       345.102137
min        13.345042
25%        76.491268
50%       201.004304
75%       628.281076
max      1291.523886
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",Lasso(alpha=25),Performance,0.1,"compressionZpaq                  2.005420e+06
level9                           5.909129e+05
compression                      5.591728e+05
level8                           5.271801e+05
compressionLzo                   5.267191e+05
compressionGzip                  4.495930e+05
compressionBzip2                 3.597437e+05
level3                           3.242680e+05
level2                           1.967438e+05
level1                           1.875566e+05
level6                           4.071810e+04
level7                           3.689611e+04
compressionLrzip                 3.017697e+04
unlimitedWindowSize              2.587212e+04
level5                           1.954829e+04
encryption                       1.904886e+04
level4                           1.343630e+04
disableCompressibilityTesting    2.151376e+02
dtype: float64","count      25.000000
mean      286.668867
std       329.387643
min         7.504500
25%        57.725861
50%       148.749299
75%       384.304691
max      1113.294868
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"compressionZpaq                  1.870331e+06
compression                      5.458405e+05
compressionLzo                   5.058848e+05
level9                           4.993106e+05
level8                           4.547870e+05
compressionGzip                  4.324481e+05
compressionBzip2                 3.475487e+05
level3                           3.407977e+05
level2                           2.241544e+05
level1                           2.172243e+05
level6                           7.420369e+04
level5                           6.114305e+04
level4                           4.448941e+04
compressionLrzip                 3.860897e+04
unlimitedWindowSize              2.532642e+04
encryption                       1.810138e+04
level7                           7.915033e+03
disableCompressibilityTesting    2.620079e+03
dtype: float64","count      25.000000
mean      243.492605
std       310.110880
min         2.976767
25%        25.257405
50%        97.331428
75%       325.459538
max      1060.326900
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=5)",Performance,0.1,"compressionZpaq                  1.698375e+06
compression                      5.978595e+05
compressionLzo                   5.389673e+05
compressionGzip                  4.712199e+05
level9                           4.320665e+05
level8                           3.981213e+05
compressionBzip2                 3.947592e+05
level3                           3.547211e+05
level2                           2.451606e+05
level1                           2.410824e+05
level6                           1.002714e+05
compressionLrzip                 9.369699e+04
level5                           9.036744e+04
level4                           8.565127e+04
unlimitedWindowSize              2.345958e+04
encryption                       1.553988e+04
level7                           1.162241e+04
disableCompressibilityTesting    5.355829e+03
dtype: float64","count      25.000000
mean      217.761693
std       297.917934
min         0.816089
25%        16.198997
50%        83.544129
75%       275.406990
max      1014.893704
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  1.021884e+20
compressionLrzip                 1.021884e+20
compressionBzip2                 1.021884e+20
compressionLzo                   1.021884e+20
compressionGzip                  1.021884e+20
compression                      1.021884e+20
level                            6.931999e+18
level3                           1.878166e+18
level1                           1.878166e+18
level5                           1.878166e+18
level2                           1.878166e+18
level6                           1.878166e+18
level4                           1.878166e+18
level7                           1.878166e+18
level8                           1.878166e+18
level9                           1.878166e+18
encryption                       5.341383e+04
unlimitedWindowSize              3.140931e+04
disableCompressibilityTesting    1.287326e+04
dtype: float64","count      50.000000
mean      404.973652
std       436.623754
min         1.990141
25%        65.080901
50%       261.564421
75%       605.041017
max      1982.935682
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",Lasso(alpha=25),Performance,0.2,"compressionZpaq                  2.036223e+06
level9                           6.795573e+05
compression                      6.090444e+05
compressionLzo                   5.689484e+05
level8                           5.293884e+05
compressionGzip                  4.956234e+05
compressionBzip2                 3.774207e+05
level3                           3.516632e+05
level1                           1.969533e+05
level2                           1.398827e+05
compressionLrzip                 6.348717e+04
level6                           5.555034e+04
level5                           3.814069e+04
level7                           3.443721e+04
level4                           1.062973e+04
disableCompressibilityTesting    5.765395e+03
encryption                       5.760839e+03
unlimitedWindowSize              5.663387e+03
dtype: float64","count      50.000000
mean      275.484251
std       338.990956
min         7.792284
25%        49.686505
50%       157.521364
75%       291.270384
max      1345.943262
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",Ridge(alpha=2),Performance,0.2,"compressionZpaq                  1.916029e+06
level9                           5.662798e+05
compression                      5.642556e+05
compressionLzo                   5.188608e+05
level8                           4.480777e+05
compressionGzip                  4.470940e+05
level3                           3.714335e+05
compressionBzip2                 3.397274e+05
level1                           2.309390e+05
level2                           1.814387e+05
level6                           9.254901e+04
level5                           8.203379e+04
level4                           5.363620e+04
compressionLrzip                 4.609094e+04
encryption                       7.059011e+03
unlimitedWindowSize              3.058546e+03
level7                           2.327360e+03
disableCompressibilityTesting    1.946900e+03
dtype: float64","count      50.000000
mean      232.286955
std       317.406334
min         0.225933
25%        29.084119
50%        94.860206
75%       237.161369
max      1265.862956
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=5)",Performance,0.2,"compressionZpaq                  1.752178e+06
compression                      6.265609e+05
compressionLzo                   5.644489e+05
level9                           4.980531e+05
compressionGzip                  4.955944e+05
compressionBzip2                 4.000845e+05
level8                           3.950095e+05
level3                           3.893637e+05
level1                           2.561536e+05
level2                           2.105572e+05
level6                           1.186808e+05
level5                           1.098428e+05
compressionLrzip                 1.095284e+05
level4                           9.168792e+04
level7                           2.522855e+04
encryption                       5.649712e+03
unlimitedWindowSize              2.890533e+03
disableCompressibilityTesting    1.396456e+03
dtype: float64","count      50.000000
mean      212.983415
std       306.172826
min         3.288221
25%        26.678707
50%        81.192367
75%       225.029220
max      1215.200386
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",LinearRegression(),Performance,0.3,"compression                      5.177299e+18
compressionLzo                   5.177299e+18
compressionGzip                  5.177299e+18
compressionBzip2                 5.177299e+18
compressionLrzip                 5.177299e+18
compressionZpaq                  5.177299e+18
level                            4.859026e+17
level8                           4.067821e+17
level9                           4.067821e+17
level7                           4.067821e+17
level4                           4.067821e+17
level2                           4.067821e+17
level5                           4.067821e+17
level6                           4.067821e+17
level1                           4.067821e+17
level3                           4.067821e+17
encryption                       2.920789e+04
unlimitedWindowSize              2.300631e+04
disableCompressibilityTesting    1.173446e+04
dtype: float64","count      75.000000
mean      299.867262
std       336.183908
min         0.426206
25%        49.921608
50%       205.592253
75%       324.612992
max      1289.132639
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting'],
      dtype='object')",Lasso(alpha=25),Performance,0.3,"compressionZpaq                  2.070641e+06
level8                           6.530902e+05
compression                      6.294200e+05
compressionLzo                   6.185063e+05
level9                           5.711968e+05
compressionGzip                  5.199905e+05
level3                           3.767943e+05
compressionBzip2                 3.585166e+05
level1                           1.077566e+05
compressionLrzip                 8.627851e+04
level6                           6.157319e+04
level5                           3.676152e+04
encryption                       2.996206e+04
level7                           2.978997e+04
unlimitedWindowSize              2.075853e+04
level2                           1.458052e+04
level4                           1.250991e+04
disableCompressibilityTesting    1.208932e+04
dtype: float64","count      75.000000
mean      293.556598
std       333.959879
min         0.099660
25%        51.176519
50%       195.145910
75%       310.178127
max      1246.277086
Name: % error, dtype: float64"
