,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.1,"gvn         19.002293
inline      13.265300
licm        11.623840
iv_users     1.343633
dtype: float64","count    158.000000
mean       3.850180
std        2.582347
min        0.020993
25%        1.976547
50%        3.409295
75%        4.821001
max       13.119349
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","Lasso(alpha=4, max_iter=1)",Performance,0.1,"gvn       10.163889
inline     2.581481
dtype: float64","count    158.000000
mean       6.512114
std        4.063627
min        0.329385
25%        2.879658
50%        6.153192
75%        9.814542
max       15.323109
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",Ridge(alpha=4),Performance,0.1,"gvn         10.633708
inline       9.025122
licm         5.199787
iv_users     3.064288
dtype: float64","count    158.000000
mean       5.169649
std        3.309625
min        0.047715
25%        2.264691
50%        5.201489
75%        7.332002
max       13.095874
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","ElasticNet(alpha=0.5, l1_ratio=0.1, max_iter=1)",Performance,0.1,"gvn         9.120116
inline      6.508151
licm        4.375802
iv_users    2.367067
dtype: float64","count    158.000000
mean       5.661817
std        3.483945
min        0.001742
25%        2.530993
50%        5.521018
75%        8.462906
max       13.423005
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.1,"licm        16.038889
inline       8.708750
gvn          7.767083
iv_users     0.839583
dtype: float64","count    158.000000
mean       5.274653
std        4.103798
min        0.057103
25%        2.104192
50%        4.448557
75%        7.250622
max       17.570325
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",RandomForestRegressor(),Performance,0.1,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.334700
std        3.093758
min        0.056856
25%        1.845460
50%        3.691379
75%        6.696507
max       15.702907
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.337233
std        3.394635
min        0.062508
25%        1.490313
50%        3.570129
75%        6.338221
max       18.009405
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.394772
std        3.454190
min        0.057103
25%        1.526752
50%        3.676638
75%        6.330952
max       18.146314
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.2,"licm        18.722066
inline      18.415103
gvn         18.341806
iv_users     0.659139
dtype: float64","count    140.000000
mean       3.437974
std        2.526739
min        0.053738
25%        1.494189
50%        3.124781
75%        4.771222
max       12.219901
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","Lasso(alpha=0.2, max_iter=5)",Performance,0.2,"inline    17.865107
licm      17.855346
gvn       17.401538
dtype: float64","count    140.000000
mean       3.470158
std        2.483670
min        0.005432
25%        1.570918
50%        3.190242
75%        4.793136
max       12.309036
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",Ridge(alpha=0.5),Performance,0.2,"inline      17.715922
licm        17.652491
gvn         17.215959
iv_users     0.071733
dtype: float64","count    140.000000
mean       3.485158
std        2.469925
min        0.004811
25%        1.619190
50%        3.197464
75%        4.752157
max       12.311654
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.0, max_iter=5)",Performance,0.2,"inline      17.447826
licm        17.266496
gvn         16.814383
iv_users     0.314836
dtype: float64","count    140.000000
mean       3.518549
std        2.445021
min        0.027532
25%        1.671934
50%        3.123594
75%        4.847482
max       12.337276
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.2,"gvn         9.892898
inline      8.794914
licm        6.028596
iv_users    0.302757
dtype: float64","count    140.000000
mean       3.507495
std        2.651309
min        0.002414
25%        1.683315
50%        3.122436
75%        5.176342
max       14.879565
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",RandomForestRegressor(),Performance,0.2,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    140.000000
mean       3.356153
std        2.483630
min        0.003927
25%        1.536393
50%        3.028843
75%        4.753433
max       16.879335
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    140.000000
mean       3.374998
std        2.563137
min        0.079971
25%        1.623353
50%        2.931334
75%        4.455913
max       17.602421
Name: % error, dtype: float64",4
15,DecisionTree,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    140.000000
mean       3.284936
std        2.441052
min        0.102076
25%        1.542867
50%        2.861526
75%        4.372046
max       17.602514
Name: % error, dtype: float64",4
16,LinearRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.3,"licm        17.661267
gvn         16.823980
inline      16.471794
iv_users     0.059280
dtype: float64","count    123.000000
mean       3.522077
std        2.534241
min        0.007126
25%        1.556189
50%        3.070921
75%        5.029258
max       11.545856
Name: % error, dtype: float64",4
17,Lasso,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","Lasso(alpha=0.5, max_iter=10)",Performance,0.3,"licm      15.981059
gvn       15.203856
inline    15.046092
dtype: float64","count    123.000000
mean       3.748331
std        2.504471
min        0.018941
25%        1.660563
50%        3.180881
75%        5.430149
max       11.375504
Name: % error, dtype: float64",4
18,Ridge,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",Ridge(alpha=0.5),Performance,0.3,"licm        17.081293
gvn         16.234628
inline      16.046648
iv_users     0.305418
dtype: float64","count    123.000000
mean       3.589409
std        2.511519
min        0.043360
25%        1.663294
50%        3.063047
75%        5.257404
max       11.548593
Name: % error, dtype: float64",4
19,ElasticNet,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","ElasticNet(alpha=0.5, l1_ratio=1.0, max_iter=10)",Performance,0.3,"licm      15.981059
gvn       15.203856
inline    15.046092
dtype: float64","count    123.000000
mean       3.748331
std        2.504471
min        0.018941
25%        1.660563
50%        3.180881
75%        5.430149
max       11.375504
Name: % error, dtype: float64",4
20,PolynomialRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.3,"inline      8.836234
gvn         8.272083
licm        7.566394
iv_users    1.325422
dtype: float64","count    123.000000
mean       3.709209
std        2.488834
min        0.158000
25%        2.005351
50%        3.302742
75%        5.124943
max       13.849062
Name: % error, dtype: float64",4
21,RandomForest,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",RandomForestRegressor(),Performance,0.3,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    123.000000
mean       3.399133
std        1.994910
min        0.074927
25%        1.900541
50%        3.272888
75%        4.657579
max       13.062750
Name: % error, dtype: float64",4
22,GradientBoostingTree,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",GradientBoostingRegressor(),Performance,0.3,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    123.000000
mean       3.347758
std        1.935614
min        0.012842
25%        2.002776
50%        3.239143
75%        4.574911
max       12.917969
Name: % error, dtype: float64",4
23,DecisionTree,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",DecisionTreeRegressor(),Performance,0.3,"licm       NaN
gvn        NaN
inline     NaN
iv_users   NaN
Name: % error, dtype: float64","count    123.000000
mean       3.556542
std        2.383465
min        0.021297
25%        1.991670
50%        3.242679
75%        4.759952
max       14.897542
Name: % error, dtype: float64",4
24,LinearRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.4,"licm        21.545440
gvn         17.719577
inline      17.089926
iv_users     2.118799
dtype: float64","count    105.000000
mean       3.377957
std        2.650482
min        0.023838
25%        1.274407
50%        2.404300
75%        5.393290
max       11.589521
Name: % error, dtype: float64",4
25,Lasso,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","Lasso(alpha=0.5, max_iter=10)",Performance,0.4,"licm      19.640156
inline    15.788867
gvn       15.618578
dtype: float64","count    105.000000
mean       3.377075
std        2.540086
min        0.080105
25%        1.287702
50%        2.773053
75%        4.914847
max        9.908922
Name: % error, dtype: float64",4
26,Ridge,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",Ridge(alpha=0.8),Performance,0.4,"licm        20.674037
gvn         17.034707
inline      16.591446
iv_users     1.762528
dtype: float64","count    105.000000
mean       3.368047
std        2.604979
min        0.042051
25%        1.370082
50%        2.578424
75%        5.097511
max       11.034919
Name: % error, dtype: float64",4
27,ElasticNet,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')","ElasticNet(alpha=0.5, l1_ratio=1.0, max_iter=10)",Performance,0.4,"licm      19.640156
inline    15.788867
gvn       15.618578
dtype: float64","count    105.000000
mean       3.377075
std        2.540086
min        0.080105
25%        1.287702
50%        2.773053
75%        4.914847
max        9.908922
Name: % error, dtype: float64",4
28,PolynomialRegression,False,DecisionTree,"Index(['licm', 'gvn', 'inline', 'iv_users'], dtype='object')",LinearRegression(),Performance,0.4,"gvn         12.768246
licm        12.036547
inline       8.768903
iv_users     0.977665
dtype: float64","count    105.000000
mean       3.027575
std        2.358617
min        0.001866
25%        1.129435
50%        2.641760
75%        4.394084
max       10.542611
Name: % error, dtype: float64",4
