,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_1            205.100936
ref_9            186.696598
no_fast_pskip     79.149947
no_mixed_refs     59.531374
dtype: float64","count    191.000000
mean       7.636986
std        7.810236
min        0.012561
25%        2.703393
50%        6.288314
75%        9.297500
max       36.292231
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')","Lasso(alpha=2, max_iter=10)",Performance,0.1,"ref_1            193.569875
ref_9            180.914633
no_fast_pskip     69.278612
no_mixed_refs     29.404289
dtype: float64","count    191.000000
mean       6.690503
std        5.865642
min        0.043810
25%        2.429448
50%        5.061450
75%        8.200400
max       26.135788
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.2),Performance,0.1,"ref_1            197.222727
ref_9            181.453527
no_fast_pskip     75.830340
no_mixed_refs     49.481318
dtype: float64","count    191.000000
mean       6.895093
std        6.940854
min        0.010817
25%        2.256823
50%        5.065932
75%        8.853045
max       30.081870
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.02, max_iter=5)",Performance,0.1,"ref_1            196.675647
ref_9            181.460723
no_fast_pskip     75.583261
no_mixed_refs     48.924119
dtype: float64","count    191.000000
mean       6.857030
std        6.905194
min        0.021819
25%        2.265619
50%        5.118161
75%        8.907181
max       29.733040
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_1            87.271250
ref_9            79.651111
no_fast_pskip    45.177500
no_mixed_refs    26.858333
dtype: float64","count    191.000000
mean       6.199210
std        8.328569
min        0.000517
25%        1.476350
50%        2.772939
75%        6.678936
max       34.406417
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
no_fast_pskip   NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       4.550052
std        4.125651
min        0.075273
25%        1.604871
50%        3.713311
75%        5.668917
max       18.025440
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
no_fast_pskip   NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       4.109564
std        3.883178
min        0.001087
25%        1.371862
50%        2.863743
75%        5.856265
max       17.418319
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
no_fast_pskip   NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       4.628654
std        4.748297
min        0.000517
25%        1.401288
50%        2.857124
75%        6.587842
max       23.391327
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_1            206.770099
ref_9            174.858200
no_fast_pskip     88.460008
no_mixed_refs     76.217254
dtype: float64","count    170.000000
mean       8.240860
std        9.284189
min        0.097228
25%        1.837934
50%        6.250206
75%        9.610779
max       40.504726
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'no_fast_pskip', 'no_mixed_refs'], dtype='object')","Lasso(alpha=0.3, max_iter=5)",Performance,0.2,"ref_1            204.031851
ref_9            176.569200
no_fast_pskip     86.918084
no_mixed_refs     72.026388
dtype: float64","count    170.000000
mean       7.946327
std        8.948694
min        0.172762
25%        1.987101
50%        6.005195
75%        8.502334
max       38.537822
Name: % error, dtype: float64",4
