,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"pollyoptmaxcoefficient_1000        7.273358e+14
pollyoptmaxcoefficient_10          7.273358e+14
pollyoptmaxcoefficient_10000       7.273358e+14
pollyoptmaxcoefficient_1           7.273358e+14
pollyoptmaxcoefficient_100         7.273358e+14
polly_parallel                     4.439762e+14
polly                              4.233202e+14
none                               4.233202e+14
value_based                        4.184586e+14
memory_based                       4.184586e+14
parallel                           3.255634e+14
parallel_force                     3.255634e+14
min                                1.972961e+14
max                                1.972961e+14
pollyoptmaxconstantterm_10000      1.959079e+14
pollyoptmaxconstantterm_1          1.959079e+14
pollyoptmaxconstantterm_1000       1.959079e+14
pollyoptmaxconstantterm_10         1.959079e+14
pollyoptmaxconstantterm_100        1.959079e+14
polly_dependences_analysis_type    1.232350e+14
polly_delinearize                  7.430856e+13
polly_opt_simplify_deps            5.920640e+13
#yes                               5.920640e+13
polly_no_tiling                    5.920640e+13
polly_vectorizer                   5.311168e+13
polly_opt_fusion                   2.600631e+13
pollyrtcmaxparameters              2.574590e+13
pollyrtcmaxparameters_4            2.526831e+13
pollyrtcmaxparameters_2            2.526831e+13
pollyrtcmaxparameters_16           2.526831e+13
pollyrtcmaxparameters_8            2.526831e+13
pollyrtcmaxparameters_1            2.526831e+13
pollydefaulttilesize_1024          2.369945e+13
pollydefaulttilesize_256           2.369945e+13
pollydefaulttilesize_4             2.369945e+13
pollydefaulttilesize_16            2.369945e+13
pollydefaulttilesize_64            2.369945e+13
pollyoptmaxconstantterm            1.905341e+13
root                               8.650546e+09
dtype: float64","count    1955.000000
mean       26.623835
std        30.362615
min         0.032776
25%         8.691397
50%        15.992379
75%        28.122169
max       182.104863
Name: % error, dtype: float64",42
1,Lasso,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"value_based                    9.226136e+00
min                            7.710894e+00
polly_no_tiling                6.887556e+00
none                           3.583971e+00
polly_opt_simplify_deps        3.165481e+00
pollydefaulttilesize_64        1.437541e+00
pollyrtcmaxparameters_1        1.151995e+00
#yes                           1.043986e+00
pollyrtcmaxparameters_4        5.886335e-01
pollydefaulttilesize_1024      5.158361e-01
pollyoptmaxcoefficient_1000    2.839278e-01
max                            1.948965e-14
polly                          9.739752e-15
memory_based                   6.478478e-15
dtype: float64","count    1955.000000
mean       27.755922
std        33.943960
min         0.006883
25%         7.027339
50%        15.321371
75%        27.438257
max       200.536120
Name: % error, dtype: float64",42
2,Ridge,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"polly_no_tiling                  6.988029
memory_based                     4.701704
value_based                      4.701704
polly_opt_simplify_deps          4.204897
max                              4.094783
min                              4.094783
polly                            2.002587
none                             2.002587
pollydefaulttilesize_64          1.910608
#yes                             1.468405
pollyrtcmaxparameters_1          1.379232
pollyrtcmaxparameters_4          1.299768
pollydefaulttilesize_1024        1.137333
pollyoptmaxcoefficient_1000      0.724937
polly_parallel                   0.657364
parallel_force                   0.643570
pollydefaulttilesize_256         0.613777
pollyoptmaxconstantterm_1        0.599894
pollyoptmaxcoefficient_100       0.594267
pollyoptmaxconstantterm_10       0.522050
pollydefaulttilesize_4           0.459346
pollyoptmaxconstantterm_10000    0.442548
pollyrtcmaxparameters_2          0.413508
pollydefaulttilesize_16          0.299849
pollyoptmaxconstantterm_100      0.276977
pollyrtcmaxparameters_8          0.259765
pollyoptmaxconstantterm_1000     0.243415
pollyoptmaxcoefficient_10000     0.136618
pollyoptmaxcoefficient_10        0.092207
pollyoptmaxcoefficient_1         0.086260
pollyrtcmaxparameters_16         0.074280
parallel                         0.013794
dtype: float64","count    1955.000000
mean       26.672803
std        30.863526
min         0.028679
25%         7.337627
50%        15.228619
75%        29.221153
max       178.389877
Name: % error, dtype: float64",42
3,ElasticNet,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"value_based                    9.226136e+00
min                            7.710894e+00
polly_no_tiling                6.887556e+00
none                           3.583971e+00
polly_opt_simplify_deps        3.165481e+00
pollydefaulttilesize_64        1.437541e+00
pollyrtcmaxparameters_1        1.151995e+00
#yes                           1.043986e+00
pollyrtcmaxparameters_4        5.886335e-01
pollydefaulttilesize_1024      5.158361e-01
pollyoptmaxcoefficient_1000    2.839278e-01
max                            1.948965e-14
polly                          9.739752e-15
memory_based                   6.478478e-15
dtype: float64","count    1955.000000
mean       27.755922
std        33.943960
min         0.006883
25%         7.027339
50%        15.321371
75%        27.438257
max       200.536120
Name: % error, dtype: float64",42
4,RandomForest,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                                73.622704
min                                 0.000572
root                                     NaN
polly_vectorizer                         NaN
none                                     NaN
polly                                    NaN
polly_parallel                           NaN
parallel                                 NaN
parallel_force                           NaN
polly_no_tiling                          NaN
polly_delinearize                        NaN
polly_dependences_analysis_type          NaN
value_based                              NaN
memory_based                             NaN
polly_opt_fusion                         NaN
polly_opt_simplify_deps                  NaN
pollyrtcmaxparameters                    NaN
pollyrtcmaxparameters_1                  NaN
pollyrtcmaxparameters_2                  NaN
pollyrtcmaxparameters_4                  NaN
pollyrtcmaxparameters_8                  NaN
pollyrtcmaxparameters_16                 NaN
pollyoptmaxconstantterm                  NaN
pollyoptmaxconstantterm_1                NaN
pollyoptmaxconstantterm_10               NaN
pollyoptmaxconstantterm_100              NaN
pollyoptmaxconstantterm_1000             NaN
pollyoptmaxconstantterm_10000            NaN
pollyoptmaxcoefficient                   NaN
pollyoptmaxcoefficient_1                 NaN
pollyoptmaxcoefficient_10                NaN
pollyoptmaxcoefficient_100               NaN
pollyoptmaxcoefficient_1000              NaN
pollyoptmaxcoefficient_10000             NaN
pollydefaulttilesize                     NaN
pollydefaulttilesize_4                   NaN
pollydefaulttilesize_16                  NaN
pollydefaulttilesize_64                  NaN
pollydefaulttilesize_256                 NaN
pollydefaulttilesize_1024                NaN
#yes                                     NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.697669
std         6.011610
min         0.000572
25%         0.586477
50%         1.248205
75%         2.664131
max        73.622704
Name: % error, dtype: float64",42
5,GradientBoostingTree,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                                72.373719
min                                 0.001888
root                                     NaN
polly_vectorizer                         NaN
none                                     NaN
polly                                    NaN
polly_parallel                           NaN
parallel                                 NaN
parallel_force                           NaN
polly_no_tiling                          NaN
polly_delinearize                        NaN
polly_dependences_analysis_type          NaN
value_based                              NaN
memory_based                             NaN
polly_opt_fusion                         NaN
polly_opt_simplify_deps                  NaN
pollyrtcmaxparameters                    NaN
pollyrtcmaxparameters_1                  NaN
pollyrtcmaxparameters_2                  NaN
pollyrtcmaxparameters_4                  NaN
pollyrtcmaxparameters_8                  NaN
pollyrtcmaxparameters_16                 NaN
pollyoptmaxconstantterm                  NaN
pollyoptmaxconstantterm_1                NaN
pollyoptmaxconstantterm_10               NaN
pollyoptmaxconstantterm_100              NaN
pollyoptmaxconstantterm_1000             NaN
pollyoptmaxconstantterm_10000            NaN
pollyoptmaxcoefficient                   NaN
pollyoptmaxcoefficient_1                 NaN
pollyoptmaxcoefficient_10                NaN
pollyoptmaxcoefficient_100               NaN
pollyoptmaxcoefficient_1000              NaN
pollyoptmaxcoefficient_10000             NaN
pollydefaulttilesize                     NaN
pollydefaulttilesize_4                   NaN
pollydefaulttilesize_16                  NaN
pollydefaulttilesize_64                  NaN
pollydefaulttilesize_256                 NaN
pollydefaulttilesize_1024                NaN
#yes                                     NaN
Name: % error, dtype: float64","count    1955.000000
mean        5.549786
std         9.160847
min         0.001888
25%         0.914904
50%         2.157156
75%         5.141983
max        72.373719
Name: % error, dtype: float64",42
6,DecisionTree,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                                67.047505
root                                     NaN
polly_vectorizer                         NaN
none                                     NaN
polly                                    NaN
polly_parallel                           NaN
parallel                                 NaN
parallel_force                           NaN
polly_no_tiling                          NaN
polly_delinearize                        NaN
polly_dependences_analysis_type          NaN
value_based                              NaN
memory_based                             NaN
polly_opt_fusion                         NaN
polly_opt_simplify_deps                  NaN
pollyrtcmaxparameters                    NaN
pollyrtcmaxparameters_1                  NaN
pollyrtcmaxparameters_2                  NaN
pollyrtcmaxparameters_4                  NaN
pollyrtcmaxparameters_8                  NaN
pollyrtcmaxparameters_16                 NaN
pollyoptmaxconstantterm                  NaN
pollyoptmaxconstantterm_1                NaN
pollyoptmaxconstantterm_10               NaN
pollyoptmaxconstantterm_100              NaN
pollyoptmaxconstantterm_1000             NaN
pollyoptmaxconstantterm_10000            NaN
pollyoptmaxcoefficient                   NaN
pollyoptmaxcoefficient_1                 NaN
pollyoptmaxcoefficient_10                NaN
pollyoptmaxcoefficient_100               NaN
pollyoptmaxcoefficient_1000              NaN
pollyoptmaxcoefficient_10000             NaN
pollydefaulttilesize                     NaN
pollydefaulttilesize_4                   NaN
pollydefaulttilesize_16                  NaN
pollydefaulttilesize_64                  NaN
pollydefaulttilesize_256                 NaN
pollydefaulttilesize_1024                NaN
#yes                                     NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.529463
std         5.446642
min         0.000000
25%         0.409153
50%         1.277330
75%         2.572256
max        67.047505
Name: % error, dtype: float64",42
7,LinearRegression,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"min                                5.544649e+14
max                                5.544649e+14
none                               2.859785e+14
polly                              2.859785e+14
memory_based                       1.801600e+14
value_based                        1.801600e+14
pollyoptmaxconstantterm_10000      9.942836e+13
pollyoptmaxconstantterm_100        9.942836e+13
pollyoptmaxconstantterm_10         9.942836e+13
pollyoptmaxconstantterm_1000       9.942836e+13
pollyoptmaxconstantterm_1          9.942836e+13
pollydefaulttilesize_256           8.169624e+13
pollydefaulttilesize_1024          8.169624e+13
pollydefaulttilesize_4             8.169624e+13
pollydefaulttilesize_16            8.169624e+13
pollydefaulttilesize_64            8.169624e+13
polly_delinearize                  6.990370e+13
polly_vectorizer                   6.002478e+13
pollyrtcmaxparameters_2            3.198494e+13
pollyrtcmaxparameters_4            3.198494e+13
pollyrtcmaxparameters_16           3.198494e+13
pollyrtcmaxparameters_8            3.198494e+13
pollyrtcmaxparameters_1            3.198494e+13
pollyoptmaxcoefficient_100         3.175099e+13
pollyoptmaxcoefficient_10          3.175099e+13
pollyoptmaxcoefficient_10000       3.175099e+13
pollyoptmaxcoefficient_1           3.175099e+13
pollyoptmaxcoefficient_1000        3.175099e+13
pollyoptmaxconstantterm            1.624919e+13
parallel                           1.624115e+13
parallel_force                     1.624115e+13
polly_no_tiling                    1.471924e+13
#yes                               1.471924e+13
polly_opt_simplify_deps            1.471924e+13
polly_parallel                     1.319734e+13
polly_opt_fusion                   8.999953e+12
polly_dependences_analysis_type    5.391087e+12
pollyrtcmaxparameters              2.395525e+12
root                               4.740400e+09
pollyoptmaxcoefficient             6.250000e-02
dtype: float64","count    1738.000000
mean       25.618496
std        28.552016
min         0.010024
25%         7.638182
50%        16.214219
75%        27.837541
max       195.617816
Name: % error, dtype: float64",42
8,Lasso,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.2,"value_based                   9.025925e+00
min                           7.079646e+00
polly_no_tiling               6.475347e+00
none                          3.485749e+00
polly_opt_simplify_deps       2.112952e+00
pollyrtcmaxparameters_1       8.393222e-01
#yes                          5.327107e-01
pollyrtcmaxparameters_2       2.710428e-01
pollydefaulttilesize_64       6.337556e-02
pollyoptmaxcoefficient_100    8.045468e-03
memory_based                  5.275322e-16
polly                         1.410523e-16
dtype: float64","count    1738.000000
mean       28.079431
std        35.390803
min         0.065817
25%         7.132717
50%        15.476207
75%        26.410772
max       232.937820
Name: % error, dtype: float64",42
9,Ridge,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"polly_no_tiling                  5.969752
value_based                      4.469944
memory_based                     4.469944
min                              3.670833
max                              3.670833
polly_opt_simplify_deps          3.320727
polly                            1.902873
none                             1.902873
pollyrtcmaxparameters_1          1.318879
pollyrtcmaxparameters_2          1.036110
#yes                             1.016227
pollyoptmaxcoefficient_100       0.865916
polly_parallel                   0.816399
pollydefaulttilesize_64          0.733372
pollyoptmaxcoefficient_1000      0.716292
pollyrtcmaxparameters_4          0.682707
pollyoptmaxconstantterm_1        0.607122
parallel_force                   0.519008
pollyrtcmaxparameters_8          0.501129
pollydefaulttilesize_256         0.475268
pollyoptmaxconstantterm_1000     0.454715
pollyoptmaxconstantterm_100      0.435523
pollyoptmaxconstantterm_10       0.341328
pollydefaulttilesize_1024        0.324546
parallel                         0.297391
pollyoptmaxconstantterm_10000    0.284986
pollyoptmaxcoefficient_10000     0.229556
pollyoptmaxcoefficient_10        0.229546
pollyoptmaxcoefficient_1         0.149613
pollyrtcmaxparameters_16         0.101190
pollydefaulttilesize_16          0.096688
pollydefaulttilesize_4           0.030246
dtype: float64","count    1738.000000
mean       27.065035
std        32.209868
min         0.009225
25%         7.623389
50%        15.928496
75%        27.263666
max       214.875106
Name: % error, dtype: float64",42
