,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",LinearRegression(),Performance,0.1,"ref_1              1.858100e+02
ref_9              1.846831e+02
no_fast_pskip      6.414315e+01
no_mixed_refs      6.060428e+01
no_mbtree          4.291347e+01
no_8x8dct          2.120216e+01
no_cabac           1.051555e+01
no_deblock         3.798932e+00
no_weightb         2.687095e+00
rc_lookahead_20    2.355291e+00
rc_lookahead_60    1.428866e+00
ref_5              1.126992e+00
rc_lookahead_40    9.264247e-01
no_asm             1.421085e-14
rc_lookahead       1.421085e-14
ref                2.152394e-41
dtype: float64","count    22.000000
mean      6.581012
std       7.457191
min       0.065887
25%       1.416958
50%       3.997160
75%       7.622848
max      26.129402
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')","Lasso(alpha=0.5, max_iter=100)",Performance,0.1,"ref_1              185.328659
ref_9              182.286055
no_fast_pskip       61.965884
no_mixed_refs       55.430774
no_mbtree           39.275626
no_8x8dct           17.653307
no_cabac             6.271028
no_deblock           1.412370
rc_lookahead_20      1.372830
rc_lookahead_40      0.331471
no_weightb           0.275176
dtype: float64","count    22.000000
mean      6.641498
std       7.163271
min       0.285505
25%       1.518047
50%       3.962096
75%       8.054862
max      24.362366
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.1,"ref_1              184.940125
ref_9              183.845310
no_fast_pskip       63.658269
no_mixed_refs       59.755853
no_mbtree           42.237968
no_8x8dct           20.919848
no_cabac            10.152611
no_deblock           4.010690
no_weightb           2.601566
rc_lookahead_20      2.441321
rc_lookahead_60      1.378513
ref_5                1.094815
rc_lookahead_40      1.062808
dtype: float64","count    22.000000
mean      6.585673
std       7.422277
min       0.136196
25%       1.422882
50%       3.893559
75%       7.800208
max      25.554177
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')","ElasticNet(alpha=0.5, l1_ratio=1.0, max_iter=100)",Performance,0.1,"ref_1              185.328659
ref_9              182.286055
no_fast_pskip       61.965884
no_mixed_refs       55.430774
no_mbtree           39.275626
no_8x8dct           17.653307
no_cabac             6.271028
no_deblock           1.412370
rc_lookahead_20      1.372830
rc_lookahead_40      0.331471
no_weightb           0.275176
dtype: float64","count    22.000000
mean      6.641498
std       7.163271
min       0.285505
25%       1.518047
50%       3.962096
75%       8.054862
max      24.362366
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",LinearRegression(),Performance,0.2,"rc_lookahead_60    4.439681e+15
rc_lookahead_40    4.439681e+15
rc_lookahead_20    4.439681e+15
ref_1              2.583395e+15
ref_5              2.583395e+15
ref_9              2.583395e+15
no_asm             4.262094e+14
rc_lookahead       1.930379e+13
no_fast_pskip      6.271875e+01
no_mixed_refs      6.187500e+01
no_mbtree          4.531250e+01
no_8x8dct          2.404688e+01
no_cabac           8.546875e+00
no_deblock         7.546875e+00
no_weightb         2.890625e+00
dtype: float64","count    43.000000
mean      6.231459
std       7.515521
min       0.449482
25%       1.554483
50%       3.023787
75%       6.368997
max      24.998153
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')","Lasso(alpha=0.8, max_iter=100)",Performance,0.2,"ref_1              182.220095
ref_9              179.752282
no_fast_pskip       59.688809
no_mixed_refs       53.556291
no_mbtree           40.822239
no_8x8dct           16.791365
rc_lookahead_20      3.599275
no_cabac             1.840186
no_deblock           1.753093
dtype: float64","count    43.000000
mean      6.199748
std       7.036665
min       0.019746
25%       1.674236
50%       3.592950
75%       6.825028
max      23.393047
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.2,"ref_1              181.043856
ref_9              180.197265
no_fast_pskip       61.588291
no_mixed_refs       59.347734
no_mbtree           44.377137
no_8x8dct           21.767207
no_cabac             7.140668
no_deblock           6.490854
rc_lookahead_20      4.931221
rc_lookahead_60      3.204918
no_weightb           2.176922
rc_lookahead_40      1.726304
ref_5                0.846591
dtype: float64","count    43.000000
mean      6.260223
std       7.500084
min       0.128112
25%       1.498596
50%       3.349633
75%       6.589143
max      24.555446
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')","ElasticNet(alpha=0.8, l1_ratio=1.0, max_iter=100)",Performance,0.2,"ref_1              182.220095
ref_9              179.752282
no_fast_pskip       59.688809
no_mixed_refs       53.556291
no_mbtree           40.822239
no_8x8dct           16.791365
rc_lookahead_20      3.599275
no_cabac             1.840186
no_deblock           1.753093
dtype: float64","count    43.000000
mean      6.199748
std       7.036665
min       0.019746
25%       1.674236
50%       3.592950
75%       6.825028
max      23.393047
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",LinearRegression(),Performance,0.3,"ref_1              1.850297e+02
ref_9              1.833044e+02
no_mixed_refs      6.541093e+01
no_fast_pskip      6.132539e+01
no_mbtree          4.640177e+01
no_8x8dct          1.831215e+01
no_deblock         6.812284e+00
no_cabac           6.538495e+00
rc_lookahead_20    5.193977e+00
rc_lookahead_60    4.449228e+00
no_weightb         1.963364e+00
ref_5              1.725327e+00
rc_lookahead_40    7.447493e-01
no_asm             2.842171e-14
ref                7.300922e-39
dtype: float64","count    64.000000
mean      6.697282
std       8.582556
min       0.143445
25%       1.330012
50%       2.808430
75%       7.645203
max      30.295587
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",Lasso(alpha=0.2),Performance,0.3,"ref_1              186.094585
ref_9              181.269758
no_mixed_refs       62.841878
no_fast_pskip       60.586334
no_mbtree           44.395992
no_8x8dct           16.683831
no_deblock           5.780454
rc_lookahead_20      5.702091
no_cabac             4.910290
rc_lookahead_60      2.251014
no_weightb           1.034570
dtype: float64","count    64.000000
mean      6.632782
std       8.407295
min       0.053054
25%       1.325726
50%       2.810781
75%       7.851408
max      29.564890
Name: % error, dtype: float64"
10,Ridge,False,None,"Index(['root', 'no_asm', 'no_8x8dct', 'no_cabac', 'no_deblock',
       'no_fast_pskip', 'no_mbtree', 'no_mixed_refs', 'no_weightb',
       'rc_lookahead', 'rc_lookahead_20', 'rc_lookahead_40', 'rc_lookahead_60',
       'ref', 'ref_1', 'ref_5', 'ref_9'],
      dtype='object')",Ridge(alpha=0.05),Performance,0.3,"ref_1              184.840869
ref_9              183.128403
no_mixed_refs       65.183650
no_fast_pskip       61.236964
no_mbtree           46.214254
no_8x8dct           18.235248
no_deblock           6.870502
no_cabac             6.481360
rc_lookahead_20      5.224656
rc_lookahead_60      4.456753
no_weightb           1.954126
ref_5                1.712466
rc_lookahead_40      0.767903
dtype: float64","count    64.000000
mean      6.697754
std       8.564268
min       0.167076
25%       1.338503
50%       2.874274
75%       7.689547
max      30.183761
Name: % error, dtype: float64"
